SampleID;K-40;2s err;Cs-137;2s err;Pb-210;2s err;Ra-226;2s err
AW13-16_01;0.3173;5.7;0.006;10;0.158;13;0.0236;9.5
AW13-16_02;0.338;6.1;0.0079;9.7;0.1963;13;0.0235;9.7
AW13-16_03;0.4028;4.8;0.0187;5.5;0.1359;11;0.0251;5.6
AW13-16_04;0.3592;5.5;0.0183;4.9;0.0935;15;0.0205;9.3
AW13-16_05;0.4026;4.9;0.0356;3.5;0.0591;17;0.0221;6
AW13-16_06;0.5072;5.4;0.029;4.6;0.0749;17;0.0319;8.9
AW13-16_07;0.3298;4.5;0.0191;4.6;0.0392;16;0.0222;5.2
AW13-16_08;0.39;4.9;0.0179;4.6;0.0341;18;0.0294;8.7
AW13-16_09;0.4282;4.5;0.0084;8.5;0.0567;19;0.0325;4.7
AW13-16_10;0.3861;4.8;0.0023;16;0.0423;16;0.0417;8.4
AW13-16_11;0.442;4.8;0.0015;28;0.0367;17;0.0359;8.5
AW13-16_12;;;;;;;;
AW13-16_13;0.3859;4.3;0.0004;190;0.0335;22;0.0328;4.4
AW13-16_14;;;;;;;;
AW13-16_15;0.3198;7.8;0.0012;120;0.036;58;0.0354;10
AW13-16_16;;;;;;;;
AW13-16_17;0.4001;5.8;0.0032;41;0.041;35;0.0406;4.8
AW13-16_18;;;;;;;;
AW13-16_19;0.5708;4.6;0.0006;210;0.0624;17;0.0588;4.3
AW13-16_20;;;;;;;;
AW13-16_21;0.3049;9.1;;;0.0449;32;0.0465;10
AW13-16_22;;;;;;;;
AW13-16_23;0.2757;9.2;0.003;55;0.0545;36;0.0572;9.3
AW13-16_24;;;;;;;;
AW13-16_25;0.25;11;0.0007;290;0.0329;47;0.0609;9.6
AW13-16_26;;;;;;;;
AW13-16_27;0.3168;9.5;0.0049;39;0.0396;36;0.0593;9.5
AW13-16_28;;;;;;;;
AW13-16_29;0.2626;6.8;0.0018;76;0.0536;19;0.0554;4.5
AW13-16_30;;;;;;;;
AW13-16_31;;;;;;;;
AW13-16_32;;;;;;;;
AW13-16_33;0.3373;9;0.0017;140;0.0624;27;0.0581;5.9
AW13-16_34;;;;;;;;
AW13-16_35;;;;;;;;
AW13-16_36;;;;;;;;
AW13-16_37;0.2593;11;0.0011;2;0.0685;23;0.0595;5.7
AW13-16_38;;;;;;;;
AW13-16_39;;;;;;;;
AW13-16_40;;;;;;;;
AW13-16_41;;;;;;;;
AW13-16_42;;;;;;;;
AW13-16_43;0.3244;11;;;0.0596;20;0.0566;8.9
AW13-16_44;;;;;;;;
AW13-16_45;;;;;;;;
AW13-16_46;;;;;;;;
AW13-16_47;;;;;;;;
AW13-16_48;;;;;;;;
AW13-16_49;0.3359;7;0.0035;40;0.0763;18;0.0746;8.6
AW13-16_50;;;;;;;;